down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed
3,1,own,0.7777777778,126,4.666666667,59,0.8135593220338984,false,178,0.7696629213483146,false,3.421128976505588,237,,1.2455376904944124,0.035781544233898344
3,2,own,0.675,80,4.05,36,0.7777777777777778,false,109,0.7339449541284404,false,3.113654065865881,144,,0.9363459341341187,0.10277777777777775
3,3,own,0.630952381,84,3.785714286,45,0.6,false,89,0.6067415730337079,false,2.6067958261987974,134,,1.1789184598012028,0.030952380999999973
3,4,own,0.6354166667,96,3.8125,59,0.6271186440677966,false,125,0.624,false,2.582310200070164,182,,1.230189799929836,0.008298022632203361
3,5,own,0.6388888889,72,3.8333333330000006,51,0.5098039215686274,false,114,0.5526315789473685,false,1.9453925161918795,165,,1.887940816808121,0.12908496733137254
3,6,own,0.5869565217,92,3.52173913,38,0.631578947368421,false,121,0.5206611570247934,false,1.8658593715186218,158,,1.655879758481378,0.044622425668421006
3,7,own,0.5454545455,77,3.272727273,34,0.5588235294117647,false,105,0.5047619047619047,false,1.8569332805876857,137,,1.4157939924123144,0.013368983911764665
3,8,own,0.5789473684,95,3.4736842110000006,44,0.6136363636363636,false,103,0.6310679611650486,false,2.032516650791752,146,,1.4411675602082488,0.034688995236363596
3,9,own,0.4125,80,2.475,42,0.42857142857142855,false,110,0.4636363636363636,false,1.2779760032794194,152,,1.1970239967205807,0.01607142857142857
3,10,own,0.362745098,102,2.176470588,47,0.425531914893617,false,159,0.5094339622641509,false,1.227623679636546,205,,0.9488469083634539,0.06278681689361704
3,11,own,0.4204545455,88,2.522727273,68,0.4852941176470588,false,116,0.43103448275862066,false,0.9818337693096787,184,,1.5408935036903215,0.06483957214705882
3,12,own,0.4303797468,79,2.582278481,40,0.525,false,105,0.4095238095238095,false,0.934422820340842,144,,1.647855660659158,0.0946202532
3,13,own,0.3596491228,114,2.157894737,62,0.3870967741935484,false,139,0.4460431654676259,false,0.5951854202558116,201,,1.5627093167441883,0.027447651393548378
