Team,Player ID,Name,Uniform Number,Position,Club
Georgia,699,Aleksandre Gagoshidze,7,WR,Crusaders
Georgia,700,Saba Kvernadze,87,WR,Steelers
Georgia,701,Anri Simsive,14,C/WR,Crusaders
Georgia,702,Saba Kapanadze,3,RB/Blitz,Falcons
Georgia,703,Giorgi Kurashvili,23,DB,Crusaders
Georgia,704,Papuna Songulia,88,C/QB,Crusaders
Georgia,705,Nika Osiashvili,89,DB/Blitz,Steelers
Georgia,706,Irakli Gulordava,13,DB,Crusaders
Georgia,707,Zaza Karchiladze,5,DB/RB,Tbilisi
Georgia,708,Vakhtang Agajanashvili,10,DB/Blitz,Tbilisi
Austria,709,Gregor Bräuer,20,WR,St. Valentin Veterans
Austria,710,Daniel Hochleitner,11,WR,Vienna Vipers
Austria,711,Paul Leo Steidl,5,WR,Salzburg Ducks
Austria,712,Martin Stur,13,C,Vienna Vipers
Austria,713,David Alex Tescher,6,WR,""
Austria,714,Felix Wasshuber,9,QB,Vienna Vipers
Austria,715,Michael Bräuer,17,Blitzer,St. Valentin Veterans
Austria,716,Alexander Hauch,4,DB,Salzburg Ducks
Austria,717,Maximilian Hillebrand,7,DB,Vienna Vipers
Austria,718,Daniel Kindl,2,DB,Klosterneuburg Indians
Austria,719,Benedikt Wolf,3,DB,Vienna Vipers
Austria,720,Sebastian Wolf,8,DB,Vienna Vipers
Switzerland,889,Noah Auf der Maur,18,WR,Luzern Pikes
Switzerland,890,Leon Auf der Maur,23,WR,Luzern Pikes
Switzerland,891,Frédéric Eppisser,16,WR,ASVZ Blackbirds
Switzerland,892,Claudio Ferrari,1,DB,ASVZ Blackbirds
Switzerland,893,Marcandrea Hunkeler,13,DB,Lichtenberg Lions
Switzerland,894,Linus Krummenacher,11,DB,Luzern Pikes
Switzerland,895,Attila  Ujhazi ,12,QB,Zürich Renegades
Switzerland,896,Oliver Verhoek,17,DB,ASVZ Blackbirds
