PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam
11;Slot Left;Slot;Left;Dagger;0;10;10;Good;0;DIG;DE GAVARELLI;10;THIELE;0;;;;;;DE GAVARELLI;;;40;3;12;2;1;GER
12;;;;;1;20;-5;;1;;;0;;;;;;;;;;;5;3;13;3;1;OPP
13;;;;;2;20;-5;;1;;;8;;;;;;;;;;;5;3;14;3;1;OPP
14;;;;;3;12;-13;;1;;;7;;;;;;;;;;;13;3;15;3;1;OPP
15;;;;;4;5;-20;;1;;;7;;;;;;;;;;;20;3;16;3;1;OPP
16;;;;;1;23;23;;1;;;3;;;;;;;;;;;27;3;17;3;1;OPP
17;;;;;2;20;20;;1;;;0;;;;;;;;;;;30;3;18;3;1;OPP
18;;;;;3;20;20;;1;;;19;;;;;;;;;;;30;3;19;3;1;OPP
19;;;;;4;1;1;Complete, TD;1;;;1;;;;;;;;;;;49;3;20;3;1;OPP
20;;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;3;21;3;1;OPP
21;Slot Left;Slot;Left;OHIO;1;20;-5;Complete;0;OUT;PIETRYGA;4;THIELE;0;;;;;;PIETRYGA;;;5;3;22;4;1;GER
22;Slot Left;Slot;Left;Snake Rolex;2;16;-9;Rush;0;;THIELE;8;THIELE;;;;;;;;;;9;3;23;4;1;GER
23;Slot Left;Slot;Left;Dagger;3;8;-17;Complete;0;DIG;DE GAVARELLI;11;THIELE;0;;;;;;DE GAVARELLI;;;17;3;24;4;1;GER
24;Slot Left;Slot;Left;Rolex Curls;1;22;22;Complete;0;CURL OUT;SCHWARZ;10;THIELE;3;;;;;;SCHWARZ;;;28;3;25;4;1;GER
25;Slot Right;Slot;Right;Snake Sail;2;12;12;Complete;0;SHALLOW;DE GAVARELLI;4;THIELE;0;;;;;;DE GAVARELLI;;;38;3;26;4;1;GER
251;Slot Right;Slot;Right;Dagger;3;8;8;Complete;0;WHIP SLANT;PIETRYGA;7;THIELE;1;;;;;;PIETRYGA;;;42;3;27;4;1;GER
26;BUNCH RIGHT;BUNCH;RIGHT;SUN;4;1;1;Incomplete;0;CORE;;0;THIELE;;;;;;;TREIBER;;;49;3;28;4;1;GER
27;;;;;1;20;-5;;0;;;11;;;;;;;;;;;5;3;29;5;1;OPP
28;;;;;2;9;-16;;0;;;0;;;;;;;;;;;16;3;30;5;1;OPP
29;;;;;3;9;-16;;0;;;0;;;;;;;;;;;16;3;31;5;1;OPP
30;;;;;4;9;-16;;0;;;;;;;;;;;;;;16;3;32;5;1;OPP
31;Slot Left;Slot;Left;OHIO;1;20;-5;Complete;1;OUT;SPIES;6;THIELE;0;;;;;;SPIES;;;5;3;33;6;1;GER
32;Cat Left;Cat;Left;Curls;2;14;-11;Rush;1;;PIETRYGA;7;PIETRYGA;;;;;;;PIETRYGA;;;11;3;34;6;1;GER
33;Slot Right;Slot;Right;Slot Dig;3;7;-18;Complete;1;WHIP;SPIES;7;THIELE;0;;;;;;SPIES;;;18;3;35;6;1;GER
34;Slot Left;Slot;Left;Rolex Poco;1;25;25;Rush;1;;PIETRYGA;12;PIETRYGA;;;;;;;PIETRYGA;;;25;3;36;6;1;GER
35;Slot Right;Slot;Right;Rolex Curls;2;13;13;Rush;1;;PIETRYGA;5;PIETRYGA;;;;;;;PIETRYGA;;;37;3;37;6;1;GER
36;Slot Right;Slot;Right;Rolex Curls;3;8;8;Complete, TD;1;DIP;DE GAVARELLI;8;MARTERER;0;;;;;;DE GAVARELLI;;;42;3;38;6;1;GER
37;Slot Right;Slot;Right;STICK;0;5;5;Good;1;SCRAMBLE;DE GAVARELLI;5;THIELE;0;;;;;;DE GAVARELLI;;;45;3;39;6;1;GER
38;Slot Left;Slot;Left;OHIO;1;20;-5;Incomplete;1;OUT;;0;MARTERER;;;;;;;SPIES;;;5;3;40;7;2;GER
39;Pile Left;Pile;Left;Swap Smash;2;20;-5;Complete;1;WHIP;DE GAVARELLI;7;MARTERER;5;;;;;;DE GAVARELLI;;;5;3;41;7;2;GER
